순번,시험명,시험구분,회차,시험일,시험시작시간,접수시작일,접수마감일,시험장소,합격자발표일,시험유형
1,DAsP(데이터아키텍처 준전문가),일반검정,1,2006-03-25,09:00:00,2005-12-26,2006-01-25,제1회 DAsP : (서울)연세대학교 법과대학,2006-04-25,필기
2,DAP(국가공인 데이터아키텍처 전문가),일반검정,1,2006-03-25,09:00:00,2005-12-26,2006-01-25,제1회 DAP : (서울)연세대학교 법과대학,2006-04-25,필기
3,DAsP(데이터아키텍처 준전문가),일반검정,2,2006-07-15,09:00:00,2006-03-26,2006-05-15,제2회 DAsP : (서울)연세대학교 법과대학,2006-08-15,필기
4,DAP(국가공인 데이터아키텍처 전문가),일반검정,2,2006-07-15,09:00:00,2006-03-26,2006-05-15,제2회 DAP : (서울)연세대학교 법과대학,2006-08-15,필기
5,DAsP(데이터아키텍처 준전문가),일반검정,3,2006-11-11,09:00:00,2006-07-16,2006-09-11,제3회 DAsP : (서울)연세대학교 법과대학,2006-12-11,필기
6,DAP(국가공인 데이터아키텍처 전문가),일반검정,3,2006-11-11,09:00:00,2006-07-16,2006-09-11,제3회 DAP : (서울)연세대학교 법과대학,2006-12-11,필기
7,DAP(국가공인 데이터아키텍처 전문가),일반검정,4,2007-03-17,09:00:00,2006-11-12,2007-01-17,제4회 DAP : (서울)연세대학교 법과대학,2007-04-17,필기
8,DAsP(데이터아키텍처 준전문가),일반검정,4,2007-03-17,09:00:00,2006-11-12,2007-01-17,제4회 DAsP : 동국대학교 사회과학관(동국관) 4층,2007-04-17,필기
9,DAsP(데이터아키텍처 준전문가),일반검정,5,2007-07-14,09:00:00,2007-03-18,2007-05-14,제5회 DAsP : (부산) 부경대학교 종합강의동,2007-08-14,필기
10,DAsP(데이터아키텍처 준전문가),일반검정,5,2007-07-14,09:00:00,2007-03-18,2007-05-14,제5회 DAsP : (서울) 동국대학교 법학관(만해관)2층,2007-08-14,필기
11,DAP(국가공인 데이터아키텍처 전문가),일반검정,5,2007-07-14,09:00:00,2007-03-18,2007-05-14,제5회 DAP : (서울)연세대학교 법과대학,2007-08-14,필기
12,DAsP(데이터아키텍처 준전문가),특별검정,1,2007-11-17,09:00:00,2007-07-15,2007-09-17,[특별검정] 제1회 DAsP : 인하공업전문대학교,2007-12-17,필기
13,DAP(국가공인 데이터아키텍처 전문가),일반검정,6,2007-11-17,09:00:00,2007-07-15,2007-09-17,제6회 DAP : (서울)연세대학교 법과대학,2007-12-17,필기
14,DAsP(데이터아키텍처 준전문가),일반검정,1,2007-11-17,09:00:00,2007-07-15,2007-09-17,제1회 DAsP : (서울)연세대학교 법과대학,2007-12-17,필기
15,DAP(국가공인 데이터아키텍처 전문가),일반검정,1,2007-11-17,09:00:00,2007-07-15,2007-09-17,제1회 DAP : (서울)연세대학교 법과대학,2007-12-17,필기
16,DAsP(데이터아키텍처 준전문가),일반검정,6,2008-03-15,09:00:00,2007-11-18,2008-01-15,제6회 DAsP : (서울)동국대학교 문화관,2008-04-15,필기
17,DAP(국가공인 데이터아키텍처 전문가),일반검정,7,2008-03-15,09:00:00,2007-11-18,2008-01-15,제7회 DAP : (서울)연세대학교 법과대학,2008-04-15,필기
18,DAsP(데이터아키텍처 준전문가),일반검정,2,2008-03-15,09:00:00,2007-11-18,2008-01-15,제2회 DAsP : (서울)연세대학교 법과대학,2008-04-15,필기
19,DAP(국가공인 데이터아키텍처 전문가),일반검정,2,2008-03-15,09:00:00,2007-11-18,2008-01-15,제2회 DAP : (서울)연세대학교 법과대학,2008-04-15,필기
20,DAsP(데이터아키텍처 준전문가),일반검정,7,2008-07-12,09:00:00,2008-03-16,2008-05-12,제7회 DAsP : (서울)동국대학교 법학관,2008-08-12,필기
21,DAP(국가공인 데이터아키텍처 전문가),일반검정,8,2008-07-12,09:00:00,2008-03-16,2008-05-12,제8회 DAP : (서울)연세대학교 법과대학,2008-08-12,필기
22,DAsP(데이터아키텍처 준전문가),일반검정,3,2008-07-12,09:00:00,2008-03-16,2008-05-12,제3회 DAsP : (서울)연세대학교 법과대학,2008-08-12,필기
23,DAP(국가공인 데이터아키텍처 전문가),일반검정,3,2008-07-12,09:00:00,2008-03-16,2008-05-12,제3회 DAP : (서울)연세대학교 법과대학,2008-08-12,필기
24,DAP(국가공인 데이터아키텍처 전문가),일반검정,9,2008-11-15,13:00:00,2008-07-13,2008-09-15,제9회 DAP : 동국대학교 사회과학관(동국관) 4층,2008-12-15,필기
25,DAP(국가공인 데이터아키텍처 전문가),일반검정,4,2008-11-15,09:00:00,2008-07-13,2008-09-15,제4회 DAP : (서울)연세대학교 법과대학,2008-12-15,필기
26,DAsP(데이터아키텍처 준전문가),일반검정,4,2008-11-15,09:00:00,2008-07-13,2008-09-15,제4회 DAsP : 동국대학교 사회과학관(동국관) 4층,2008-12-15,필기
27,DAsP(데이터아키텍처 준전문가),특별검정,2,2009-02-21,13:00:00,2008-11-16,2008-12-21,[특별검정] 제2회 DAsP : 인하공업전문대학교,2009-03-21,필기
28,DAP(국가공인 데이터아키텍처 전문가),일반검정,10,2009-02-21,13:00:00,2008-11-16,2008-12-21,제10회 DAP : (부산) 부경대학교 종합강의동,2009-03-21,필기
29,DAP(국가공인 데이터아키텍처 전문가),일반검정,10,2009-02-21,13:00:00,2008-11-16,2008-12-21,제10회 DAP : (서울) 동국대학교 법학관(만해관)2층,2009-03-21,필기
30,DAsP(데이터아키텍처 준전문가),일반검정,5,2009-02-21,09:00:00,2008-11-16,2008-12-21,제5회 DAsP : (부산) 부경대학교 종합강의동,2009-03-21,필기
31,DAsP(데이터아키텍처 준전문가),일반검정,5,2009-02-21,09:00:00,2008-11-16,2008-12-21,제5회 DAsP : (서울) 동국대학교 법학관(만해관)2층,2009-03-21,필기
32,DAP(국가공인 데이터아키텍처 전문가),일반검정,5,2009-02-21,09:00:00,2008-11-16,2008-12-21,제5회 DAP : (서울)연세대학교 법과대학,2009-03-21,필기
33,DAsP(데이터아키텍처 준전문가),특별검정,3,2009-07-11,13:00:00,2009-02-22,2009-05-11,[특별검정] 제3회 DAsP : 삼육대학교,2009-08-11,필기
34,DAP(국가공인 데이터아키텍처 전문가),일반검정,11,2009-07-11,13:00:00,2009-02-22,2009-05-11,제11회 DAP : (서울)동국대학교 문화관,2009-08-11,필기
35,DAsP(데이터아키텍처 준전문가),일반검정,6,2009-07-11,09:00:00,2009-02-22,2009-05-11,제6회 DAsP : (서울)동국대학교 문화관,2009-08-11,필기
